GEOID20,City,Congestion_Index,LOS_actual,Ave_Height,B08301_002E,B08301_003E,B08301_004E,B08301_005E,B08301_010E,B08301_018E,B08301_019E,B08301_021E,B15003_001E,B19013_001E,B19301_001E,B23025_003E,B23025_005E,BLOK_Compact,BLOK_Convex,BLOK_Elong,B_Compactness_Mean,B_Compactness_Median,B_Elongation_Mean,B_Elongation_Median,Block_Total_Area,Build_Cov_Ratio,Commercial_Area,Commercial_Pct,Crash_Inde,Elementary_sch,High_school,Industrial_Area,Industrial_Pct,Institutional_Pct,Length,Mixed_Use_Area,Mixed_Use_Pct,N_B_Vertx,Open_Space_Pct,P1_001N,PM25,Residential_Area,Residential_Pct,Total_Parcel_Count,Transportation_Pct,Vacant_Undeveloped_Pct,to_fire,to_hospital,to_police,LOS_actual_numeric
60371199002003.0,Los Angeles,2.0,Good,3.2824,941.0,883.0,58.0,58.0,26.0,0.0,11.0,16.0,1183.0,83529.0,26587.0,1043.0,48.0,0.3552906589351306,0.6818995099394178,2.4015492230111373,0.6300471802815194,0.6241522136821123,1.3543602067284282,1.2069067686036627,33885.82900802614,0.3597230815870802,0.0,0.0,21.144223952332197,4.0,6.0,0.0,0.0,0.0,102.24,0.0,0.0,11.76530612244898,0.0,204.0,8.880640983581543,33885.82900802614,100.0,56.0,0.0,0.0,0.588235294118,6.0,6.0,1.0
60371342011004.0,Los Angeles,1.0,Good,3.0944,626.0,626.0,0.0,0.0,0.0,0.0,0.0,93.0,727.0,99602.0,44790.0,719.0,0.0,0.4132496221249708,0.7803426941367729,1.370876534742396,0.6082555152950225,0.6172336971700443,1.3754585971232625,1.1928043358435945,31745.29070254869,0.3322379106421227,0.0,0.0,14.427352605130826,3.0,8.94339656829834,0.0,0.0,0.0,152.02,0.0,0.0,12.339622641509434,0.0,117.0,8.501978874206543,31745.29070254869,100.0,41.0,0.0,0.0,2.0,2.0,2.0,1.0
60371216001009.0,Los Angeles,4.0,Medium,3.104,760.0,662.0,98.0,42.0,27.0,0.0,0.0,146.0,1337.0,90865.0,35616.0,1039.0,79.0,0.4112314977954653,0.742798949732387,2.2666764190048694,0.5916925978055968,0.5705850829024248,1.308226785374008,1.2578463888393676,29520.175370211746,0.372694034159911,0.0,0.0,13.671783349443182,4.0,6.0,0.0,0.0,0.0,82.8,0.0,0.0,16.285714285714285,0.0,167.0,9.115931510925291,29520.175370211746,100.0,48.0,0.0,0.0,4.0,6.0,6.0,2.0
60371439013006.0,Los Angeles,6.0,Poor,0.0,653.0,635.0,18.0,18.0,0.0,0.0,12.0,220.0,1212.0,212000.0,156201.0,949.0,53.0,0.3267639106488079,0.6756160136541496,1.4264812820502584,0.5326517447093804,0.527592189773303,1.273404778037708,1.1797224440147085,266496.69014832354,0.0566414086931211,0.0,0.0,2.6131889593252926,7.0,15.0,0.0,0.0,0.0,74.09,0.0,0.0,26.848484848484848,0.0,65.0,9.68552589416504,266496.69014832354,100.0,37.0,0.0,0.0,5.09259259259,11.3846153846,11.3846153846,3.0
60371098001008.0,Los Angeles,1.0,Good,3.0816,631.0,588.0,43.0,32.0,26.0,0.0,11.0,35.0,1021.0,136681.0,37818.0,811.0,98.0,0.5793920556105832,0.9999797521666076,2.0981404242719397,0.5864141322609834,0.5469447861170977,1.3123192600745568,1.3153439894712209,21116.59452293145,0.3348192358712131,0.0,0.0,6.15430109378,4.0,6.0,0.0,0.0,0.0,92.3,0.0,0.0,13.052631578947368,0.0,70.0,8.713540077209473,21116.59452293145,100.0,30.0,0.0,0.0,2.0,6.0,6.0,1.0
60379304002135.0,Los Angeles,0.0,Poor,1.128,176.0,151.0,25.0,25.0,0.0,0.0,6.0,83.0,387.0,123977.0,39489.0,277.0,12.0,0.3637728677071144,0.8841854172367823,4.737202924198336,,,,,375669.0474617473,,0.0,0.0,0.7580721650864175,5.0,7.481481552124023,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,8.931719779968262,0.0,0.0,2.0,0.0,0.0,7.81818181818,12.0,12.0,3.0
60371173032010.0,Los Angeles,0.0,Poor,3.0667,514.0,456.0,58.0,53.0,0.0,10.0,43.0,111.0,1281.0,126527.0,35520.0,807.0,30.0,0.774878462793748,0.9878580099123736,0.982094036840782,0.5930020333140054,0.5841223259242259,1.3910678013623512,1.4080483654342364,21688.74365981692,0.1952588493306204,0.0,0.0,12.95604109178393,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.115384615384617,0.0,73.0,8.772769927978516,21688.74365981692,100.0,14.0,0.0,0.0,2.0,9.16666666667,9.16666666667,3.0
60371021071008.0,Los Angeles,2.0,Good,1.3118,966.0,821.0,145.0,51.0,0.0,0.0,14.0,91.0,1821.0,103786.0,53697.0,1165.0,49.0,0.7297111167981384,0.9732847871253794,1.26789727408607,0.6407609320491219,0.6533400968643195,1.4847124481967644,1.2674810448652667,46829.369209425786,0.1071372877511064,0.0,0.0,9.646516767904846,3.0,8.569106101989746,0.0,0.0,11.12,118.66,0.0,0.0,10.071428571428571,0.0,32.0,9.345781326293944,41623.99023662819,88.88,13.0,0.0,0.0,0.0,8.0,8.0,1.0
60371221201006.0,Los Angeles,3.0,Medium,3.085,707.0,396.0,311.0,155.0,14.0,0.0,19.0,167.0,1150.0,73173.0,25603.0,1031.0,64.0,0.6945802388267255,1.0,1.7564746146988215,0.6918310107194503,0.714775878955086,1.3473533889739544,1.2365892473319318,15039.991648516036,0.3670221914226353,0.0,0.0,12.718138938014516,4.0,6.0,0.0,0.0,0.0,99.99,0.0,0.0,8.293103448275861,0.0,113.0,9.371865272521973,15039.991648516036,100.0,24.0,0.0,0.0,5.11111111111,8.0,8.0,2.0
60371374021016.0,Los Angeles,2.0,Good,3.7789,426.0,367.0,59.0,38.0,0.0,4.0,0.0,160.0,1468.0,99036.0,63379.0,771.0,81.0,0.3194460224814079,0.5869644647979773,2.130549353933062,0.6076348874425151,0.645233407002149,1.5709165740071227,1.4105398284087889,44676.1009340525,0.1963979311651933,0.0,0.0,1.9157854622290904,4.0,6.230769157409668,0.0,0.0,0.0,92.33,0.0,0.0,14.428571428571429,0.0,66.0,8.41260814666748,31742.13544095162,71.05,34.0,0.0,0.0,4.0,15.0,15.0,1.0
